Country,"Child mortality (IHME, 2018)",Landmass,Latitude,Longitude,Total Population
Paraguay,15.52,397300,-23.442503,-58.443832,6867062
Peru,17.16,1280000,-9.189967,-75.015152,31444297
Philippines,29.4,298170,12.879721,121.774017,105173264
Poland,4.81,306190,51.919438,19.145136,37974826
Portugal,3.94,91605.6,39.399872,-8.224454,10300300
Puerto Rico,10.68,8870,18.220833,-66.590149,3325286
Qatar,7.95,11490,25.354826,51.183884,2724724
Romania,9.63,230080,45.943161,24.96676,19587290
Russia,8.36,#N/A,61.52401,105.318756,#N/A
Rwanda,50.68,24670,-1.940278,29.873888,11980937
Saint Lucia,15.08,#N/A,13.909444,-60.978893,#N/A
Saint Vincent and the Grenadines,18.93,#N/A,12.984305,-61.287228,#N/A
Samoa,15.71,2830,-13.759029,-172.104629,195352
Sao Tome and Principe,34.06,960,#N/A,#N/A,207089
Saudi Arabia,8.23,2149690,23.885942,45.079162,33099147
Senegal,53.14,192530,14.497401,-14.452362,15419381
Serbia,5.61,87460,44.016521,21.005859,7020858
Seychelles,13.48,460,-4.679574,55.491977,95843
Sierra Leone,117.82,72180,8.460555,-11.779889,7488431
Singapore,2.12,709,1.352083,103.819836,5612253
Slovakia,6.52,#N/A,48.669026,19.699024,#N/A
Slovenia,2.32,20138.1,46.151241,14.995463,2066388
Solomon Islands,28.83,27990,-9.64571,160.156194,636038
Somalia,110.4,627340,5.152149,46.199616,14589119
South Africa,35.87,1213090,-30.559482,22.937506,57000451
,,,,,
South Korea,3.54,#N/A,35.907757,127.766922,#N/A
South Sudan,111.26,631944.08,#N/A,#N/A,10910759
Southeast Asia,26.89,#N/A,#N/A,#N/A,#N/A
Southern Latin America,11,#N/A,#N/A,#N/A,#N/A
Southern Sub-Saharan Africa,43.87,#N/A,#N/A,#N/A,#N/A
Spain,3.47,499547.35,40.463667,-3.74922,46593236
Sri Lanka,9.29,61893,7.873054,80.771797,21444000
,,,,,
Sudan,52.66,1849238.953,12.862807,30.217636,40813396
Suriname,31.56,156000,3.919305,-56.027783,570501
Swaziland,49.92,#N/A,-26.522503,31.465866,#N/A
Sweden,3.03,407310,60.128161,18.643501,10057698
Switzerland,4.04,39516.03,46.818188,8.227512,8451840
Syria,18.76,#N/A,34.802075,38.996815,#N/A
Taiwan,5.06,#N/A,23.69781,120.960515,#N/A
Tajikistan,52.39,138790,38.861034,71.276093,8880268
Tanzania,65.16,885800,-6.369028,34.888822,54663906
Thailand,9.55,510890,15.870032,100.992541,69209858
Timor,39.07,#N/A,#N/A,#N/A,#N/A
Togo,72.99,54390,8.619543,0.824782,7698475
Tonga,19.65,720,-21.178986,-175.198242,101998
Trinidad and Tobago,18.64,5130,10.691803,-61.222503,1384072
Tropical Latin America,19.97,#N/A,#N/A,#N/A,#N/A
Tunisia,11.72,155360,33.886917,9.537499,11433443
Turkey,15.21,769630,38.963745,35.243322,81101892
Turkmenistan,32.89,469930,38.969719,59.556278,5757669
Uganda,66.57,200520,1.373333,32.290275,41162465
Ukraine,10.55,579300,48.379433,31.16558,44831135
United Arab Emirates,7.75,71020,23.424076,53.847818,9487203
United Kingdom,4.93,241930,55.378051,-3.435973,66058859
United States,7.37,9147420,37.09024,-95.712891,324985539
United States Virgin Islands,9.87,#N/A,#N/A,#N/A,#N/A
Uruguay,10.31,175020,-32.522779,-55.765835,3436646
Uzbekistan,26.73,440587,41.377491,64.585262,32388600
Vanuatu,32.5,12190,-15.376706,166.959158,285510
Venezuela,17.12,#N/A,6.42375,-66.58973,#N/A
Vietnam,15.2,310070,14.058324,108.277199,94596642
Western Europe,4.04,#N/A,#N/A,#N/A,#N/A
Western Sub-Saharan Africa,102.38,#N/A,#N/A,#N/A,#N/A
Yemen,46.98,#N/A,15.552727,48.516388,#N/A
Zambia,70.48,743390,-13.133897,27.849332,16853688
Zimbabwe,60.91,386850,-19.015438,29.154857,14236745
