Country,"Child mortality (IHME, 2018)",Disease Burden,Prevalence of undernourishment (% of population)
Uganda,66.57,46651.42365,0
Ukraine,10.55,34975.044,3.3
United Arab Emirates,7.75,30806.91871,3
United Kingdom,4.93,20120.89778,2.5
United States,7.37,24305.78623,2.5
United States Virgin Islands,9.87,27290.58669,#N/A
Uruguay,10.31,23941.7051,2.5
Uzbekistan,26.73,35452.49286,2.8
Vanuatu,32.5,47730.22718,9.7
Venezuela,17.12,27375.60365,#N/A
Vietnam,15.2,26376.65913,6.9
Western Europe,4.04,18536.38285,#N/A
Western Sub-Saharan Africa,102.38,53836.04481,#N/A
World,40.6,32796.89248,8.7
Yemen,46.98,44559.63921,#N/A
Zambia,70.48,51675.32031,0
Zimbabwe,60.91,56253.67584,0
